Variable,VariableDescription,Country,Year,PercentageValue
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Belgium,2018,17.7
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Lithuania,2010,26.96
PUBMECTR,Primary treatment,France,2014,71.94
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Italy,2015,40.54
NOPUBSEWIND,Not connected to public sewerage or independent treatment,New Zealand,2015,39.84
PUBADVTR,Tertiary treatment,Austria,2011,38.8
PUBADVTR,Tertiary treatment,New Zealand,2019,36.94
PUBMECTR,Primary treatment,Korea,2017,71.03
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Slovak Republic,2016,57.42
OTHERTR,Unspecified (other) treatment ,Iceland,2011,71.91
PUBMECTR,Primary treatment,Mexico,2011,19.48
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Portugal,2017,43.96
OTHERTR,Unspecified (other) treatment ,New Zealand,2011,33.12
PUBADVTR,Tertiary treatment,Latvia,2011,65.03
PUBBIOTR,Secondary treatment,England and Wales,2014,8.48
PUBNOTR,Connected to a wastewater treatment plant without treatment,Chile,2017,48.88
PUBBIOTR,Secondary treatment,Greece,2014,53.13
INDEPDTR,Population connected to independent treatment,New Zealand,2013,35.84
PUBBIOTR,Secondary treatment,Austria,2016,47.23
PUBMECTR,Primary treatment,Austria,2010,42.22
PUBBIOTR,Secondary treatment,Chile,2019,73.62
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Czech Republic,2018,7.56
INDEPDTR,Population connected to independent treatment,United States,2018,26.89
PUBNOTR,Connected to a wastewater treatment plant without treatment,Chile,2014,-0.25
OTHERTR,Unspecified (other) treatment ,Portugal,2019,15.38
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Chile,2016,16.47
INDEPDTR,Population connected to independent treatment,United States,2012,63.56
OTHERTR,Unspecified (other) treatment ,Austria,2018,13.17
PUBADVTR,Tertiary treatment,Denmark,2018,46.03
OTHERTR,Unspecified (other) treatment ,Israel,2014,54.86
PUBMECTR,Primary treatment,England and Wales,2011,40.16
PUBNOTR,Connected to a wastewater treatment plant without treatment,Spain,2013,9.46
PUBNOTR,Connected to a wastewater treatment plant without treatment,Latvia,2015,64.47
PUBBIOTR,Secondary treatment,New Zealand,2019,12.45
OTHERTR,Unspecified (other) treatment ,Lithuania,2016,10.01
OTHERTR,Unspecified (other) treatment ,Japan,2014,23.75
OTHERTR,Unspecified (other) treatment ,France,2016,2.03
OTHERTR,Unspecified (other) treatment ,Netherlands,2018,66.01
PUBNOTR,Connected to a wastewater treatment plant without treatment,Portugal,2012,62.45
OTHERTR,Unspecified (other) treatment ,Italy,2018,55.95
PUBBIOTR,Secondary treatment,Spain,2019,34.94
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Finland,2014,3.41
PUBADVTR,Tertiary treatment,Japan,2015,35.28
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Germany,2012,50.33
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Lithuania,2010,6.16
INDEPDTR,Population connected to independent treatment,Israel,2018,73.0
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Poland,2016,5.14
PUBADVTR,Tertiary treatment,Mexico,2011,66.81
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,2014,74.55
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Austria,2018,65.32
PUBNOTR,Connected to a wastewater treatment plant without treatment,Australia,2012,73.85
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Sweden,2017,55.77
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Korea,2019,59.03
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Australia,2017,33.49
PUBMECTR,Primary treatment,Luxembourg,2017,21.92
PUBADVTR,Tertiary treatment,Korea,2014,72.35
INDEPDTR,Population connected to independent treatment,Slovenia,2012,21.28
PUBBIOTR,Secondary treatment,Iceland,2019,30.31
PUBBIOTR,Secondary treatment,Korea,2012,40.79
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Finland,2014,62.47
PUBBIOTR,Secondary treatment,Canada,2017,10.97
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Japan,2015,63.43
OTHERTR,Unspecified (other) treatment ,Netherlands,2016,44.42
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Czech Republic,2019,53.4
INDEPDTR,Population connected to independent treatment,Netherlands,2010,36.22
PUBBIOTR,Secondary treatment,France,2010,23.91
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Korea,2018,16.72
PUBNOTR,Connected to a wastewater treatment plant without treatment,United Kingdom,2018,40.8
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Portugal,2010,9.3
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Turkey,2017,72.37
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Greece,2010,3.01
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Denmark,2017,70.48
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Germany,2018,6.12
INDEPDTR,Population connected to independent treatment,Poland,2019,44.65
OTHERTR,Unspecified (other) treatment ,Estonia,2019,73.18
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Chile,2010,8.18
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Austria,2011,29.95
PUBMECTR,Primary treatment,Switzerland,2010,35.61
OTHERTR,Unspecified (other) treatment ,Poland,2010,51.16
PUBNOTR,Connected to a wastewater treatment plant without treatment,United States,2012,60.19
PUBBIOTR,Secondary treatment,Hungary,2013,43.75
INDEPDTR,Population connected to independent treatment,Greece,2013,46.7
PUBBIOTR,Secondary treatment,Poland,2014,46.0
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Finland,2013,26.05
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Portugal,2017,59.05
PUBADVTR,Tertiary treatment,Slovak Republic,2017,49.05
PUBNOTR,Connected to a wastewater treatment plant without treatment,Belgium,2016,74.03
PUBNOTR,Connected to a wastewater treatment plant without treatment,Finland,2015,39.37
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Canada,2011,31.0
PUBBIOTR,Secondary treatment,Netherlands,2010,59.11
PUBMECTR,Primary treatment,Poland,2014,64.22
PUBNOTR,Connected to a wastewater treatment plant without treatment,Norway,2015,16.48
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Netherlands,2019,2.29
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Italy,2015,64.84
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Sweden,2014,54.8
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Greece,2019,50.66
INDEPDTR,Population connected to independent treatment,Denmark,2011,26.32
INDEPDTR,Population connected to independent treatment,Estonia,2012,56.56
PUBMECTR,Primary treatment,Mexico,2010,45.88
PUBADVTR,Tertiary treatment,Denmark,2017,53.68
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Israel,2016,70.87
PUBMECTR,Primary treatment,Italy,2017,37.71
PUBMECTR,Primary treatment,Austria,2016,7.7
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Chile,2017,70.34
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),United States,2014,31.71
PUBNOTR,Connected to a wastewater treatment plant without treatment,Norway,2011,44.71
INDEPDTR,Population connected to independent treatment,Netherlands,2011,72.63
PUBADVTR,Tertiary treatment,Australia,2014,37.99
INDEPDTR,Population connected to independent treatment,Iceland,2019,56.04
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Estonia,2011,42.31
INDEPDTR,Population connected to independent treatment,Turkey,2014,24.82
PUBMECTR,Primary treatment,Poland,2019,53.33
INDEPDTR,Population connected to independent treatment,Austria,2011,19.01
INDEPDTR,Population connected to independent treatment,Lithuania,2011,22.73
PUBBIOTR,Secondary treatment,Austria,2016,20.86
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Mexico,2010,31.7
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Hungary,2013,42.39
PUBBIOTR,Secondary treatment,Switzerland,2010,67.73
NOPUBSEWIND,Not connected to public sewerage or independent treatment,United Kingdom,2019,2.08
PUBBIOTR,Secondary treatment,Slovenia,2017,10.34
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Latvia,2012,39.31
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Chile,2015,20.65
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Chile,2010,-0.43
OTHERTR,Unspecified (other) treatment ,Japan,2015,67.17
TOTPUBSEW,Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR),Estonia,2014,16.7
PUBADVTR,Tertiary treatment,Germany,2017,32.64
PUBNOTR,Connected to a wastewater treatment plant without treatment,Mexico,2016,49.29
INDEPDTR,Population connected to independent treatment,Germany,2011,5.75
OTHERTR,Unspecified (other) treatment ,Canada,2017,53.32
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Hungary,2012,47.99
PUBNOTR,Connected to a wastewater treatment plant without treatment,Czech Republic,2010,18.81
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Korea,2016,21.19
PUBADVTR,Tertiary treatment,Spain,2015,67.77
OTHERTR,Unspecified (other) treatment ,Spain,2017,18.8
PUBBIOTR,Secondary treatment,Czech Republic,2018,11.88
PUBBIOTR,Secondary treatment,Italy,2017,22.2
OTHERTR,Unspecified (other) treatment ,Mexico,2019,62.69
PUBADVTR,Tertiary treatment,Germany,2017,2.53
INDEPDTR,Population connected to independent treatment,Hungary,2016,29.77
INDEPDTR,Population connected to independent treatment,Denmark,2016,51.26
PUBADVTR,Tertiary treatment,Netherlands,2010,69.11
NOPUBSEWIND,Not connected to public sewerage or independent treatment,Canada,2015,58.2
PUBADVTR,Tertiary treatment,Czech Republic,2012,59.26
PUBADVTR,Tertiary treatment,Czech Republic,2019,13.9
INDEPDTR,Population connected to independent treatment,Australia,2012,70.15
NOPUBSEWIND,Not connected to public sewerage or independent treatment,New Zealand,2016,6.1
PUBBIOTR,Secondary treatment,Estonia,2016,18.31
PUBADVTR,Tertiary treatment,Hungary,2013,49.22
TOTTR,Total treatment ( = PUBTOTTR + INDEPDTR),Latvia,2014,66.67
PUBBIOTR,Secondary treatment,Luxembourg,2012,45.25
INDEPDTR,Population connected to independent treatment,Israel,2011,14.4
PUBTOTTR,Public total treatment (connected to a wastewater treatment plant = PUBMECTR + PUBBIOTR + PUBADVTR + OTHERTR),Slovenia,2011,14.07
PUBBIOTR,Secondary treatment,Finland,2013,24.2
PUBNOTR,Connected to a wastewater treatment plant without treatment,Australia,2014,7.51
